state,district,pincode
Karnataka,Bangalore Urban,560001
Karnataka,Bangalore Rural,561101
Karnataka,Mysuru,570001
Tamil Nadu,Chennai,600001
Tamil Nadu,Coimbatore,641001
Tamil Nadu,Madurai,625001
Maharashtra,Mumbai City,400001
Maharashtra,Pune,411001
Maharashtra,Nagpur,440001
Telangana,Hyderabad,500001
Telangana,Warangal,506002
Kerala,Thiruvananthapuram,695001
Kerala,Ernakulam,682011
Delhi,New Delhi,110001
Uttar Pradesh,Lucknow,226001
Uttar Pradesh,Noida,201301
West Bengal,Kolkata,700001
Rajasthan,Jaipur,302001
Gujarat,Ahmedabad,380001
